国际音标IPA	讯飞音标	英式音标（DJ音标）	英式讯飞音标	美式音标（KK音标）	美式讯飞音标
ɑ:	aa	ɑ:	aa	ɑ:	aa
ʌ	ah	ʌ	ah	ʌ	ah
æ	ae	æ	ae	æ	ae
ɔ:	ao	ɔ:	ao	ɔ:	ao
ɒ	oo	ɒ	oo	ɔ	oo
ɜ:	er	ɜ:	er	ɜ:	er
ə	ax	ə	ax	ə	ax
e	eh	e	eh	e	eh
eɪ	ey	eɪ	ey	eɪ	ey
aɪ  	ay	aɪ  	ay	aɪ  	ay
ɔɪ	oy	ɔɪ	oy	ɔɪ	oy
i:	iy	i:	iy	i:	iy
ɪ	ih	ɪ	ih	ɪ	ih
u:	uw	u:	uw	u:	uw
ʊ	uh	ʊ	uh	ʊ	uh
eə	ar	eə	ar	er	eh r
ɪə	ir	ɪə	ir	ɪr	ih r
ʊə	ur	ʊə	ur	ʊr	uh r
aʊ	aw	aʊ	aw	aʊ	aw
əʊ	ow	əʊ	ow	oʊ	ow
tʃ	ch	tʃ	ch	tʃ	ch
ʃ	sh	ʃ	sh	ʃ	sh
ʒ    	zh	ʒ    	zh	ʒ    	zh
dʒ    	jh	dʒ    	jh	dʒ    	jh
ð	dh	ð	dh	ð	dh
θ	th	θ	th	θ	th
ŋ	ng	ŋ	ng	ŋ	ng
h	hh	h	hh	h	hh
j	y	j	y	j	y
m	m	m	m	m	m
n	n	n	n	n	n 
b	b	b	b	b	b
p	p	p	p	p	p
t	t	t	t	t	t 
d	d	d	d	d	d 
f	f	f	f	f	f
g	g	g	g	g	g
k 	k 	k 	k 	k 	k
l	l	l	l	l	l
r	r	r	r	r	r
s	s	s	s	s	s 
v	v	v	v	v	v
w	w	w	w	w	w
z	z	z	z	z	z 
dr   	dr   	dr   	dr   	dr   	dr
dz   	dz   	dz   	dz   	dz   	dz
tr	tr	tr	tr	tr	tr
ts	ts	ts	ts	ts	ts
i	ih	i	ih	i	ih
u	uh	u	uh	u	uh
